station,validUTC,levelcode,pressure_mb,height_m,tmpc,dwpc,drct,speed_kts,bearing,range_sm
KIAD,2026-09-21 12:00:00,4,459.0,6509.83,-11.7,-22.7,M,M,M,M
KIAD,2026-09-21 12:00:00,4,458.0,6526.53,-11.7,-24.7,M,M,M,M
KIAD,2026-09-21 12:00:00,4,453.0,6610.5,-12.3,-25.3,M,M,M,M
KIAD,2026-09-21 12:00:00,4,440.0,6832.2,-14.1,-27.1,M,M,M,M
KIAD,2026-09-21 12:00:00,4,429.79,7010.0,-14.83,-29.28,250.0,20,M,M
KIAD,2026-09-21 12:00:00,4,426.0,7077.05,-15.1,-30.1,M,M,M,M
KIAD,2026-09-21 12:00:00,4,425.0,7094.81,-15.1,-29.1,M,M,M,M
KIAD,2026-09-21 12:00:00,4,423.0,7130.45,-15.3,-25.3,M,M,M,M
KIAD,2026-09-21 12:00:00,4,413.0,7310.58,-16.9,-27.9,M,M,M,M
KIAD,2026-09-21 12:00:00,4,406.0,7438.73,-17.5,-27.5,M,M,M,M
KIAD,2026-09-21 12:00:00,4,403.0,7494.2,-18.1,-25.1,M,M,M,M
KIAD,2026-09-21 12:00:00,4,402.0,7512.76,-18.3,-23.1,M,M,M,M
KIAD,2026-09-21 12:00:00,4,400.0,7550.0,-18.3,-22.5,270.0,25,M,M
KIAD,2026-09-21 12:00:00,4,396.25,7620.0,-18.67,-21.38,270.0,26,M,M
KIAD,2026-09-21 12:00:00,4,396.0,7624.75,-18.7,-21.3,M,M,M,M
KIAD,2026-09-21 12:00:00,4,385.0,7833.76,-19.5,-23.3,M,M,M,M
KIAD,2026-09-21 12:00:00,4,364.76,8230.0,-22.7,-26.03,285.0,19,M,M
KIAD,2026-09-21 12:00:00,4,355.0,8428.93,-24.3,-27.4,M,M,M,M
KIAD,2026-09-21 12:00:00,4,351.0,8511.19,-24.7,-28.4,M,M,M,M
KIAD,2026-09-21 12:00:00,4,350.0,8531.89,-24.5,-29.5,M,M,M,M
KIAD,2026-09-21 12:00:00,4,346.0,8615.25,-24.9,-29.9,M,M,M,M
KIAD,2026-09-21 12:00:00,4,332.0,8912.76,-27.9,-31.5,M,M,M,M
KIAD,2026-09-21 12:00:00,4,327.0,9021.26,-28.5,-32.9,M,M,M,M
KIAD,2026-09-21 12:00:00,4,321.41,9144.0,-29.75,-33.11,280.0,18,M,M
KIAD,2026-09-21 12:00:00,4,319.0,9197.49,-30.3,-33.2,M,M,M,M
KIAD,2026-09-21 12:00:00,4,307.83,9449.0,-32.05,-36.22,300.0,15,M,M
KIAD,2026-09-21 12:00:00,4,305.0,9514.16,-32.5,-37.0,M,M,M,M
