station,validUTC,levelcode,pressure_mb,height_m,tmpc,dwpc,drct,speed_kts,bearing,range_sm
KOKX,2026-09-21 12:00:00,4,332.0,8854.89,-30.5,-31.5,M,M,M,M
KOKX,2026-09-21 12:00:00,4,329.0,8919.36,-30.9,-32.2,M,M,M,M
KOKX,2026-09-21 12:00:00,4,326.0,8984.37,-30.9,-33.3,M,M,M,M
KOKX,2026-09-21 12:00:00,4,318.72,9144.0,-31.8,-36.26,255.0,40,M,M
KOKX,2026-09-21 12:00:00,4,310.0,9339.96,-32.9,-39.9,M,M,M,M
KOKX,2026-09-21 12:00:00,4,305.22,9449.0,-33.56,-39.33,275.0,40,M,M
KOKX,2026-09-21 12:00:00,4,300.0,9570.0,-34.3,-38.7,280.0,44,M,M
KOKX,2026-09-21 12:00:00,4,292.13,9754.0,-35.6,-41.69,285.0,44,M,M
KOKX,2026-09-21 12:00:00,4,288.0,9852.7,-36.3,-43.3,M,M,M,M
KOKX,2026-09-21 12:00:00,4,279.48,10058.0,-38.25,-44.79,290.0,43,M,M
KOKX,2026-09-21 12:00:00,4,270.0,10293.8,-40.5,-46.5,M,M,M,M
KOKX,2026-09-21 12:00:00,4,267.24,10363.0,-41.13,-47.13,290.0,40,M,M
KOKX,2026-09-21 12:00:00,4,258.0,10599.87,-43.3,-49.3,M,M,M,M
KOKX,2026-09-21 12:00:00,4,255.38,10668.0,-43.75,-49.75,295.0,45,M,M
KOKX,2026-09-21 12:00:00,4,250.0,10810.0,-44.7,-50.7,295.0,53,M,M
KOKX,2026-09-21 12:00:00,4,243.97,10973.0,-45.89,-51.4,295.0,57,M,M
KOKX,2026-09-21 12:00:00,4,238.0,11138.16,-47.1,-52.1,M,M,M,M
KOKX,2026-09-21 12:00:00,4,232.94,11278.0,-48.19,-52.87,295.0,59,M,M
KOKX,2026-09-21 12:00:00,4,222.31,11582.0,-50.55,-54.53,295.0,59,M,M
KOKX,2026-09-21 12:00:00,4,202.0,12205.26,-55.4,-57.95,285.0,66,M,M
KOKX,2026-09-21 12:00:00,4,200.0,12270.0,-55.9,-58.3,285.0,66,M,M
KOKX,2026-09-21 12:00:00,4,199.0,12301.74,-56.3,-58.6,M,M,M,M
KOKX,2026-09-21 12:00:00,4,194.0,12462.28,-57.5,-60.1,M,M,M,M
KOKX,2026-09-21 12:00:00,4,192.93,12497.0,-57.74,-60.28,285.0,66,M,M
KOKX,2026-09-21 12:00:00,4,187.0,12692.62,-59.1,-61.3,M,M,M,M
KOKX,2026-09-21 12:00:00,4,183.75,12802.0,-59.49,-62.14,290.0,63,M,M
KOKX,2026-09-21 12:00:00,4,182.0,12861.63,-59.7,-62.6,M,M,M,M
KOKX,2026-09-21 12:00:00,4,175.0,13105.51,-60.3,-62.8,M,M,M,M
KOKX,2026-09-21 12:00:00,4,170.0,13285.18,-61.1,-64.0,M,M,M,M
KOKX,2026-09-21 12:00:00,4,166.56,13411.0,-62.08,-64.68,275.0,43,M,M
KOKX,2026-09-21 12:00:00,4,161.0,13619.61,-63.7,-65.8,M,M,M,M
KOKX,2026-09-21 12:00:00,4,158.48,13716.0,-64.2,-66.64,260.0,47,M,M
KOKX,2026-09-21 12:00:00,4,158.0,13734.37,-64.3,-66.8,M,M,M,M
